nome_fantasia;cnae_principal;municipio-id;estado-sigla;bairro
FECONSEPRO;9430800;4308607;RS;SAO JOSE
SHOW CAR;4530703;4308607;RS;CENTRO
MILTON PINTURAS;8299799;4308607;RS;BELA VISTA I
TRANSPORTES TURGATUR;4929902;4308607;RS;CENTRO
DANCIN DAYS;4723700;4308607;RS;SEBBEN
SERRA TINTAS;4741500;4308607;RS;SEBEN
DIVAL AGROPECUARIA;4632003;4308607;RS;PETERLONGO
FABIO AUTOMOVEIS;4511102;4308607;RS;CENTRO
SKICHAMP;4615000;4308607;RS;JUVENTUDE
ESTRELA SUL;4530703;4308607;RS;GARIBALDINA
EMBALASUL;6462000;4308607;RS;CENTRO
MASSAS LA CANTINETTA;4729699;4308607;RS;SANTA TEREZINHA
LANCHES CONZATTI;5611203;4308607;RS;CENTRO
''PAULO PINTURAS''.;4330404;4308607;RS;SAO JOSE
CARPINTARIA PERUFFO;9529105;4308607;RS;CENTRO
GD ROXO - SERVICOS MEDICOS;8630503;4308607;RS;CENTRO
LAVANDERIA GOTA D' AGUA;9601701;4308607;RS;BRASILIA
CAFE EL POINT 55 CONVENIENCIA;5611203;4308607;RS;CENTRO
JBT TRANSPORTES;4930202;4308607;RS;FERROVIARIO
M CORBELLINI TRANSPORTES;4930202;4308607;RS;CENTRO
TATI SALGADO;1091102;4308607;RS;CENTRO
PICHURIKO;1813099;4308607;RS;CENTRO
SALVATORI ADVOGADOS;6911701;4308607;RS;CENTRO
SPECIALLITA CLINICA ESTETICA;9602502;4308607;RS;CENTRO
LAVAGEM DO ALEMAO;4520005;4308607;RS;Centro
MADE MOBILE MOVEIS SOB MEDIDA;3101200;4308607;RS;PETERLONGO
CONFEITARIA K' DELICIA;1091102;4308607;RS;Perimetral
SOLMAR LIMPEZA E JARDINAGEM;8129000;4308607;RS;FERROVIARIO
G L SERVICOS DE LIMPEZA;8121400;4308607;RS;GLORIA
MINDFUL ENGLISH;8599699;4308607;RS;CENTRO
Z.H.T. REPRESENTACAO COMERCIAL;4617600;4308607;RS;CENTRO
VM MOVEIS E MONTAGENS;3101200;4308607;RS;SAO FRANCISCO
FABIANE ROSSINI CENTRO DE BELEZA;9602501;4308607;RS;CENTRO
GARIBALDI VIDROS;4520001;4308607;RS;INTEGRACAO
D J B - SERVICOS ADMINISTRATIVOS;8219999;4308607;RS;CENTRO
JNE HOME SECURITY;4321500;4308607;RS;FERROVIARIO
CANTINHO DAS UNHAS;9602501;4308607;RS;CENTRO
ANELISE DECOR;8230001;4308607;RS;CHACARAS
RITA MANICURE;9602501;4308607;RS;Centro
SARTORI REPRESENTACOES;4618499;4308607;RS;TRES LAGOAS
NICARETTA ADMINISTRADORA DE IMOVEIS;6810202;4308607;RS;SAO JOSE
BUARQUE BURGER;5611203;4308607;RS;CENTRO
ENTRE RAIZES;7911200;4308607;RS;FERROVIARIO
PAIXAO REPRESENTACOES;4617600;4308607;RS;CENTRO
RAFAEL CEREJA;9001902;4308607;RS;CHAMPAGNE
ASSOCIACAO GASTRO SERRA GAUCHA;9411100;4308607;RS;CENTRO
GILTUR TRANSPORTE;4929901;4308607;RS;ALFANDEGA
CLIC FOTOGRAFIA E DIVULGACOES;7420001;4308607;RS;Sao Francisco
EDIFICIO RESIDENCIAL MORADA DO SOL;4110700;4308607;RS;SAO FRANCISCO
MORESCO CONSTRUCOES;4120400;4308607;RS;TRES LAGOAS
RISTORANTE & ARMAZEM NONO MADIERO;5611201;4308607;RS;GARIBALDINA
ESTETICA PAMELA;9602502;4308607;RS;CENTRO
VEREMA NETWORKING;9511800;4308607;RS;SANTA TEREZINHA
ATELIER DANIELA NETO;1412602;4308607;RS;CENTRO
EXATA ADMINISTRADORA DE CONDOMINIOS;6822600;4308607;RS;SAO FRANCISCO
PS ENERGIA;3321000;4308607;RS;CAIRU
CL BRASIL;4930202;4308607;RS;PETERLONGO
JA ZULU;4723700;4308607;RS;Vale dos Pinheiros
SALERI;8592903;4308607;RS;Centro
TRANSPORTES PEDROSO;4929901;4308607;RS;SAO FRANCISCO
NM LIMPEZA E SERVICOS GERAIS;9609299;4308607;RS;SANTA TEREZINHA
MB ACABAMENTOS;4399103;4308607;RS;VALE DOS PINHEIROS
PAPALEGUAS DELIVERY;5320202;4308607;RS;SAO JOSE
MZP REPRESENTACOES;4619200;4308607;RS;SAO JOSE
CONDOMINIO BOULEVARD CONVENTION VALE DOS VINHEDOS;4110700;4308607;RS;GARIBALDINA
EDIFICIO RESIDENCIAL BELLA VISIONE;4110700;4308607;RS;ALFANDEGA
ANA LUCIA DESIGN;5819100;4308607;RS;CHAMPAGNE
FATTO ENERGIA SOLAR;4321500;4308607;RS;CAIRU
USINATO SERVICOS DE MANUTENCAO EM GERAL;3321000;4308607;RS;SAO FRANCISCO
PEGLOW TRANSPORTES;4930202;4308607;RS;SAO FRANCISCO
CHALE DAS DELICIAS;1091102;4308607;RS;SAO FRANCISCO
REVENDA ASSUNTA MOLON;4772500;4308607;RS;SAO ROQUE F.D MELLO
CASTRO MODAS E VARIEDADES;4781400;4308607;RS;FENACHAMP
BCP ENSINO;8599699;4308607;RS;CENTRO
MS REPRENTACOES;5250803;4308607;RS;CENTRO
C & G CONSTRUCOES E REFORMAS;4330405;4308607;RS;CENTRO
AMBIENTES LIMPOS;8121400;4308607;RS;CENTRO
D'EGUSTARE LANCHERIA E PADARIA;4729699;4308607;RS;SAO JOSE
RESIDENCIAL E COMERCIAL DOS PLATANOS;8112500;4308607;RS;CENTRO
LAVAGEM E BAR CADORIN;4520005;4308607;RS;BELA VISTA I
GABI MASSOTERAPEUTA;9602502;4308607;RS;CENTRO
EKOELEGANCY;1412601;4308607;RS;BAIRRO CENTRO
FIO & FORMA;4781400;4308607;RS;INTERIOR
TECNOAGRO;4618401;4308607;RS;CHACARAS
CAMARGO USINAGEM;2539001;4308607;RS;brasilia
SALAO DE BELEZA MARA;9602501;4308607;RS;ALFANDEGA
LOJINHA DA PATY;4781400;4308607;RS;CENTRO
DCHIARI;5812301;4308607;RS;CENTRO
MUNDO DO PRESENTE;4763601;4308607;RS;CENTRO
RIVIERA CLOTHING;4781400;4308607;RS;CENTRO
SARTORI SCHOOL;8599699;4308607;RS;CENTRO
DANI BENEDETTI;5611205;4308607;RS;JUVENTUDE
MOON ART FACTORY;3101200;4308607;RS;GARIBALDINA
AGOSTINI COLCHOES TERAPEUTICOS;4754702;4308607;RS;CENTRO
CARDOSO MANUTENCAO INDUSTRIAL;3312102;4308607;RS;SAO FRANCISCO
EMPREITEIRA FRANTZ;4399103;4308607;RS;VALE VERDE
WEBSYSTEM;9511800;4308607;RS;CENTRO
CARRER FISIOTERAPIA;8650004;4308607;RS;SAO ROQUE
SERRA TRATORES;3314711;4308607;RS;BORGHETTO
JR GESSOS;4330403;4308607;RS;FENACHAMP
IGREJA PENTECOSTAL REBENTO DE JESSE;9491000;4308607;RS;CHAMPAGNE
COMERCIAL E SERVICOS DP;7319002;4308607;RS;CENTRO
AB GESSO;4330403;4308607;RS;FENACHAMP
LA PERM;4781400;4308607;RS;CENTRO
MICHELE BELLO DA ROSA;1412601;4308607;RS;BRASILIA
AMG COMPONENTES INDUSTRIAIS;4663000;4308607;RS;SAO FRANCISO
TC SOB MEDIDA;3101200;4308607;RS;SANTA TERESINHA
FINANCE ASSESSORIA DE COBRANCA;8291100;4308607;RS;TRES LAGOAS
PAGLIARINI MANUTENCOES;3321000;4308607;RS;CHACARAS
RPM LIBERTA PLANEJAMENTO FINANCEIRO PESSOAL;7020400;4308607;RS;SANTA TEREZINHA
PINTURAS VARGAS;4330404;4308607;RS;CHACARAS
COMPASSIONE SAUDE E BELEZA;9602502;4308607;RS;CENTRO
ARTEINOX;3299099;4308607;RS;VILA NOVA
A&R MOVEIS E DECORACAO;3103900;4308607;RS;TAMANDARE
DOCE ENCANTO;4781400;4308607;RS;GUARANI
JEAN TEIXEIRA SOCIAL MEDIA;5819100;4308607;RS;CENTRO
RS FUNILARIA;2532201;4308607;RS;BRASILIA
NAIGO GIAN LIMA DOS SANTOS;4763602;4308607;RS;TAMANDARE
GIOVANI LUIS POSTINGHER;7319002;4308607;RS;VALE DOS PINHEIROS
HR MOVEIS E ESTOFADOS;3101200;4308607;RS;GARIBALDINA
JM REPRESENTACOES;4789002;4308607;RS;TAMANDARE
BRACHINA;4757100;4308607;RS;CENTRO
DM CELL;4752100;4308607;RS;Peterlongo
RICARDI SEGUROS;6622300;4308607;RS;CENTRO
AGORA JOSE;1412602;4308607;RS;Centro
AGROVETERINARIA C&C SOLUCOES PARA A CASA E CAMPO;4744001;4308607;RS;SANTA TEREZINHA
SANTA PAULA VIDROS.;4743100;4308607;RS;GLORIA
SUFFA;3101200;4308607;RS;FERROVIARIO
SAO JOAO FARMACIAS;4771701;4308607;RS;CENTRO
FARDO RECICLAVEIS;3832700;4308607;RS;SAO MIGUEL
IVI DOCES ARTESANAIS;1091102;4308607;RS;CHACARAS
DIEGO DUDU FURLANETTO;9001902;4308607;RS;CHACARAS
CHAPELEIRO MALUCO;8230001;4308607;RS;Simonaggio
MOLDER ESTRUTURAS;2330302;4308607;RS;SAO MIGUEL
REESIGNIFICA;4781400;4308607;RS;CHAMPAGNE
DENI UNHAS;9602501;4308607;RS;PINHEIRO MACHADO
SPAZIO BENESSERE;9602502;4308607;RS;CENTRO
JURANDIR FRAPORTI;4930201;4308607;RS;INTERIOR
LIMIT FITNESS - ACADEMIA;9313100;4308607;RS;CENTRO
MEU ATELIE JAQUE FURLANETTO;1412601;4308607;RS;JUVENTUDE
TO CONTABIL;8219999;4308607;RS;CENTRO
VS INSTALACOES ELETRICAS E HIDRAULICAS;4321500;4308607;RS;Sao Francisco
DELLTA PLUS;7490199;4308607;RS;CENTRO
GURI DO SMART;4752100;4308607;RS;CENTRO
MOBILE PER UFFICIO;8211300;4308607;RS;GLORIA
MARIS MARQUES ATELIER DE COSTURA;1412602;4308607;RS;Centro
CUBO GRAFICA CRIATIVA;1813099;4308607;RS;CENTRO
NAVALHA PUB;9602501;4308607;RS;CENTRO
QUOTA CAPITAL;6622300;4308607;RS;CENTRO
FERNANDA BORDIN DERMATOLOGISTA;8630501;4308607;RS;CENTRO
