nome_fantasia;cnae_principal;municipio-id;estado-sigla;bairro
VET PET CLINICA VETERINARIA;7500100;4305108;RS;RIO BRANCO
ALBINI AGROPET;4789004;4305108;RS;SANTA CATARINA
SHEILA ARTIGOS PET;4789004;4305108;RS;NOSSA SENHORA DE FATIMA
CAMPEIRO PRODUTOS DO CAMPO;4712100;4305108;RS;NOSSA SENHORA DAS GRACAS
PET SITTER GABRIELI OLIVEIRA;9609208;4305108;RS;SANTA CATARINA
CASA DO PET PETSHOP;4789004;4305108;RS;PIONEIRO
MANUELA GONZALEZ;9609208;4305108;RS;MATIODA
AMOR AU PET;9609208;4305108;RS;SANTA FE
EMPORIO MINUANO;4712100;4305108;RS;JARDIM AMERICA
MERCADO DAROS;4712100;4305108;RS;PLANALTO
MERCADO LELUAL;4712100;4305108;RS;VILA SECA
ARMAZEM ADELINA;4712100;4305108;RS;CINQUENTENARIO II
MINI MERCADO GABI;4712100;4305108;RS;CRUZEIRO
OURO BRANCO;4711302;4305108;RS;CIDADE NOVA
MAXIMO KRAEMER;7500100;4305108;RS;SAO PELEGRINO
JOAQUIM MARQUES DE CASTRO;4712100;4305108;RS;DESVIO RIZZO
SACOLAO E ACOUGUE FORQUETA;4712100;4305108;RS;FORQUETA
DISTRIBUIDORA LOPES;4691500;4305108;RS;SAO LUIZ
SACOLAO DO GALO;4712100;4305108;RS;RIO BRANCO
MARE ALTA;4789004;4305108;RS;CENTRO
BAZAR E MERCEARIA MASCARELLO;4712100;4305108;RS;FLORESTA
ARMAZEM ANIMAL;4623109;4305108;RS;JARDIM AMERICA
PET SHOP MIA E LATE;9609208;4305108;RS;BELA VISTA
AGRO ROLDO;4789004;4305108;RS;CENTRO
LULUZINHA VETERINARIA;7500100;4305108;RS;DESVIO RIZZO
CHAMPION DOG ADESTRAMENTO;9609207;4305108;RS;SAO PELEGRINO
AMOREKOS;9609208;4305108;RS;DE LAZZER
VINY PETZ;9609208;4305108;RS;SERRANO
SUPER ADRIHAM;4712100;4305108;RS;DESVIO RIZZO
MERCADO COLELLA;4712100;4305108;RS;BELO HORIZONTE
MUNDO PET;9609208;4305108;RS;NOSSA SENHORA DE FATIMA
MINI MERCADO ALTOS DE GALOPOLIS;4712100;4305108;RS;GALOPOLIS
MERCADO DAS MANAS;4712100;4305108;RS;NOSSA SENHORA DE FATIMA
FIDELITTA ESTETICA ANIMAL;9609208;4305108;RS;RIO BRANCO
TCHE VEGANO;4712100;4305108;RS;PIO X
MULLY PET;4789004;4305108;RS;CRUZEIRO
PADARIA PANAZZOLO;4712100;4305108;RS;PANAZZOLO
FERRAGEM DAS HORTENCIAS;9609208;4305108;RS;JARDIM DAS HORTENCIAS
MINI MERCADO DO ROIJ;4712100;4305108;RS;DESVIO RIZZO
PET VIP TRANSPORTES;9609208;4305108;RS;SALGADO FILHO
NA BRASA;4712100;4305108;RS;SANTA FE
MONTANARI & SARTORI DISTRIBUIDORA;4691500;4305108;RS;SANTA CATARINA
MERCEARIA BIGARELLA;4712100;4305108;RS;CENTRO
TUO CANE;4789004;4305108;RS;ESPLANADA
MINIMERCADO SANTA RITA;4712100;4305108;RS;SAO CIRO
EDUARDO LUCKMANN;9609208;4305108;RS;SAGRADA FAMILIA
ALINES. COMERCIO E SERVICOS;4789004;4305108;RS;SAO LUIZ
LILIANE DA SILVA - CLINICA E CIRURGIA VETERINARIA;7500100;4305108;RS;PANAZZOLO
LEONARDO HOFFMANN MATOS;9609208;4305108;RS;PLANALTO
PET DA AMANDA;9609208;4305108;RS;RIO BRANCO
MERCADO LO VIC;4712100;4305108;RS;DESVIO RIZZO
PARADA CERTA SALA B;4712100;4305108;RS;NOSSA SENHORA DAS GRACAS
ALVES BEBIDAS;4712100;4305108;RS;NOSSA SENHORA DO ROSARIO
PET BOSSARDI;9609208;4305108;RS;NOSSA SENHORA DA SAUDE
DAI GRAFF;9609208;4305108;RS;SAO LEOPOLDO
FIHOS MEUS;9609208;4305108;RS;CHARQUEADAS
VITORIA PETS BEAUTY;9609208;4305108;RS;SAO LUIZ
DENISE MATOS;9609208;4305108;RS;CIDADE NOVA
DM ESTETICA DE ANIMAIS;9609208;4305108;RS;BELA VISTA
CT PH LIMA;9609207;4305108;RS;CENTENARIO
ESTABELECIMENTO DO GRINGO;4789004;4305108;RS;NOSSA SENHORA DO ROSARIO
ERICK BORGES;9609208;4305108;RS;JARDELINO RAMOS
MERCADO BARRACAO;4712100;4305108;RS;SANTA FE
NETUNO AQUARIOS E FONTES;4789004;4305108;RS;NOSSA SENHORA DE LOURDES
EDU RACOES;4789004;4305108;RS;PANAZZOLO
PLANETA PET;4789004;4305108;RS;BELA VISTA
BIG FESTA;4711302;4305108;RS;NOSSA SENHORA DE LOURDES
MERCADO ESPLANADA;4712100;4305108;RS;ESPLANADA'
